sample_id,age_BP,d18O,d18O_precision,d13C,d13C_precision
199843,101866.7277,-6.18585714,0.001,-11.56315714,5e-04
199844,101966.7807,-6.18085714,0.001,-11.93585714,5e-04
199845,102071.1993,-6.12485714,0.001,-11.99355714,5e-04
199846,102177.9626,-6.00885714,0.001,-11.77225714,5e-04
199847,102282.8481,-5.93085714,0.001,-11.53295714,5e-04
199848,102380.5978,-5.73885714,0.001,-11.70265714,5e-04
199849,102483.7225,-5.09576,0.001,-11.8068,5e-04
199866,112559.8844,-4.0275,0.001,-11.3186,5e-04
199867,113281.399,-4.50136,0.001,-11.0752,5e-04
199868,114011.0243,-4.2155,0.001,-11.0446,5e-04
199869,114740.0062,-4.0931,0.001,-10.98545,5e-04
199870,115466.2681,-4.5815,0.001,-11.4306,5e-04
199871,116196.261,-4.43976,0.001,-10.9138,5e-04
199872,116928.452,-4.2065,0.001,-11.1886,5e-04
199873,117658.2123,-4.44568,0.001,-11.40898,5e-04
199874,118381.4683,-4.47508,0.001,-11.19088,5e-04
199875,119100.1293,-4.85688,0.001,-11.78518,5e-04
199876,119824.2433,-4.47016,0.001,-11.1184,5e-04
199877,120081.8938,-4.46196,0.001,-11.3796,5e-04
199878,120347.5411,-5.94276,0.001,-11.5318,5e-04
199879,120614.4122,-4.66888,0.001,-11.67068,5e-04
199880,120878.4955,-4.78936,0.001,-11.5042,5e-04
199881,121133.3692,-4.857,0.001,-11.2209,5e-04
199882,121395.8627,-4.4922,0.001,-10.74628,5e-04
199883,121651.9351,-4.5086,0.001,-10.29548,5e-04
199884,121908.3151,-4.476,0.001,-10.31168,5e-04
199885,122177.5116,-4.4564,0.001,-10.36588,5e-04
199886,122441.3114,-4.7288,0.001,-10.71908,5e-04
199887,122697.4743,-4.866,0.001,-10.85768,5e-04
199888,122954.2975,-5.0224,0.001,-10.90288,5e-04
199889,123204.7478,-5.0878,0.001,-10.81708,5e-04
199890,123468.3564,-5.4612,0.001,-10.71428,5e-04
199891,123730.2219,-4.98436,0.001,-10.6642,5e-04
199892,123990.5693,-6.06,0.001,-10.90468,5e-04
199893,124249.3953,-6.6144,0.001,-12.39588,5e-04
199894,124506.1717,-6.4346,0.001,-11.66548,5e-04
199895,124641.3474,-6.304,0.001,-11.24268,5e-04
199896,124769.0529,-6.6364,0.001,-11.91888,5e-04
199897,124898.8163,-6.5438,0.001,-11.27908,5e-04
199898,125028.9341,-6.8112,0.001,-11.57928,5e-04
199899,125160.3812,-6.8516,0.001,-11.40948,5e-04
