sample_id,depth_mm,age_BP,d18O,d18O_prec
295319,34.2,3495.6,-2.11,0.08
295320,34.4,3505.4,-2.1,0.08
295321,34.6,3515.3,-2.36,0.08
295322,34.8,3525.5,-2.5,0.08
295323,35,3535.8,-2.48,0.08
295324,35.2,3546.2,-2.41,0.08
295325,35.4,3556.7,-2.43,0.08
295326,35.6,3567.3,-2.36,0.08
295327,35.8,3577.8,-2.4,0.08
295328,36,3588.3,-2.03,0.08
295329,36.2,3598.7,-2.06,0.08
295330,36.4,3609,-2.19,0.08
295331,36.6,3619.3,-2.07,0.08
295332,36.8,3629.6,-2.23,0.08
295333,38,3690.5,-2.27,0.08
295334,38.2,3700.7,-2.16,0.08
295335,38.4,3710.9,-2.38,0.08
295336,38.6,3721.1,-2.34,0.08
295337,38.8,3731.3,-2.35,0.08
295338,39,3741.5,-2.29,0.08
295339,39.2,3751.7,-2.1,0.08
295340,39.4,3761.9,-2.47,0.08
295341,39.6,3772.1,-2.56,0.08
295342,39.8,3782.3,-2.38,0.08
295343,40,3792.5,-2.36,0.08
295344,40.2,3802.7,-2.44,0.08
295345,40.4,3812.8,-2.32,0.08
295346,40.6,3822.9,-2.44,0.08
295347,40.8,3833.1,-2.45,0.08
295348,41,3843.2,-2.45,0.08
295349,41.2,3853.3,-2.34,0.08
295350,41.6,3873.4,-2.36,0.08
295351,41.8,3883.5,-2.3,0.08
295352,42,3893.6,-2.47,0.08
295353,42.2,3903.7,-2.61,0.08
295354,42.4,3913.8,-2.5,0.08
295355,42.6,3923.9,-2.58,0.08
295356,42.8,3934,-2.45,0.08
295357,43,3944,-2.57,0.08
295358,43.2,3954.1,-2.61,0.08
295359,43.4,3964.2,-2.39,0.08
295360,43.6,3974.3,-2.33,0.08
295361,43.8,3984.4,-2.37,0.08
295362,44,3994.4,-2.39,0.08
295363,44.2,4004.5,-2.5,0.08
295364,44.4,4014.6,-2.42,0.08
295365,44.6,4024.6,-2.46,0.08
295366,44.8,4034.7,-2.52,0.08
295367,45,4044.8,-2.82,0.08
295368,45.2,4054.8,-2.9,0.08
295369,45.4,4064.9,-2.77,0.08
295370,45.6,4074.9,-2.89,0.08
295371,45.8,4085,-2.92,0.08
295372,46,4095.1,-2.89,0.08
295373,46.2,4105.1,-2.77,0.08
295374,46.4,4115.2,-2.98,0.08
295375,46.6,4125.2,-2.9,0.08
295376,46.8,4135.3,-2.84,0.08
295377,47,4145.4,-2.72,0.08
295378,47.2,4155.5,-2.74,0.08
295379,47.4,4165.6,-2.79,0.08
295380,47.6,4175.6,-2.87,0.08
295381,47.8,4185.7,-2.84,0.08
295382,48,4195.8,-2.86,0.08
295383,48.2,4206,-2.74,0.08
295384,48.4,4216.1,-2.67,0.08
295385,48.6,4226.2,-2.82,0.08
295386,48.8,4236.3,-2.71,0.08
295387,49,4246.4,-2.59,0.08
295388,49.2,4256.6,-2.55,0.08
295389,49.4,4266.7,-2.56,0.08
295390,49.6,4276.9,-2.58,0.08
295391,49.8,4287.1,-2.64,0.08
295392,50,4297.2,-2.63,0.08
295393,50.2,4307.4,-2.76,0.08
295394,50.4,4317.6,-2.85,0.08
295395,50.6,4327.8,-2.78,0.08
295396,50.8,4338,-3.12,0.08
295397,51,4348.2,-2.85,0.08
295398,51.2,4358.4,-2.95,0.08
295399,51.4,4368.6,-2.97,0.08
295400,51.6,4378.8,-2.9,0.08
295401,51.8,4388.9,-2.88,0.08
295402,52,4399.1,-2.52,0.08
295403,52.2,4409.3,-2.5,0.08
295404,52.4,4419.4,-2.49,0.08
295405,52.6,4429.6,-2.46,0.08
