sample_id,depth_mm,age_BP,d18O,d18O_prec,Mg_Ca,Mg_Ca_prec
379258,11.7,8240,-1.51,0.08,26.10098,NA
379259,11.8,8250,-1.54,0.08,25.80997,NA
379260,11.9,8261,-1.46,0.08,20.15594,NA
379261,12,8272,-2.18,0.08,22.39877,NA
379262,12.1,8282,-2.13,0.08,25.38498,NA
379263,12.2,8293,-1.84,0.08,27.2251,NA
379264,12.3,8304,-1.4,0.08,27.43974,NA
379265,12.4,8314,-1.04,0.08,30.46079,NA
379266,12.5,8325,-1.05,0.08,26.65398,NA
379267,12.6,8335,-1.12,0.08,26.28862,NA
379268,12.7,8346,-1.26,0.08,23.91471,NA
379269,12.8,8356,-1.21,0.08,27.32604,NA
379270,12.9,8366,-1.1,0.08,28.32403,NA
379271,13,8377,-1.28,0.08,25.06385,NA
379272,13.1,8387,-1.37,0.08,27.75329,NA
379273,13.2,8398,-1.76,0.08,24.24027,NA
379274,13.3,8409,-2.02,0.08,25.29303,NA
379275,13.4,8419,-2.01,0.08,23.20731,NA
379276,13.5,8430,-2.11,0.08,22.00095,NA
379277,13.6,8441,-2.43,0.08,21.83881,NA
379278,13.7,8452,-2.28,0.08,18.86492,NA
379279,13.8,8462,-1.76,0.08,20.90652,NA
379280,13.9,8474,-1.68,0.08,24.9256,NA
379281,14,8485,-1.69,0.08,26.05549,NA
379282,14.1,8496,-1.59,0.08,24.87719,NA
379283,14.2,8507,-1.56,0.08,29.07395,NA
379284,14.3,8519,-1.51,0.08,29.48301,NA
379285,14.4,8530,-1.88,0.08,27.02619,NA
379286,14.5,8542,-1.89,0.08,27.22856,NA
379287,14.6,8553,-1.77,0.08,27.71579,NA
379288,14.7,8565,-1.84,0.08,28.40525,NA
379289,14.8,8577,-1.89,0.08,24.59589,NA
379290,14.9,8589,-1.7,0.08,21.54418,NA
379291,15,8601,-1.82,0.08,26.573,NA
379292,15.1,8613,-1.78,0.08,26.13558,NA
379293,15.2,8625,-1.79,0.08,27.03644,NA
379294,15.3,8637,-1.94,0.08,26.01178,NA
379295,15.4,8649,-2.02,0.08,25.36882,NA
379296,15.5,8661,-2.05,0.08,24.99183,NA
379297,15.6,8672,-1.86,0.08,26.43723,NA
379298,15.7,8684,-1.96,0.08,24.07611,NA
379299,15.8,8696,-1.87,0.08,24.57116,NA
379300,15.9,8708,-1.79,0.08,26.52964,NA
379301,16,8720,-1.77,0.08,24.70691,NA
379302,16.1,8732,-2.03,0.08,24.74673,NA
379303,16.2,8744,-2.44,0.08,26.65017,NA
379304,16.3,8756,-2.53,0.08,28.92761,NA
