year_CE,d18O
82.0,-4.0600
82.2,-3.8000
82.4,-3.8600
82.6,-3.7600
82.8,-3.9400
83.1,-4.0700
83.3,-3.7700
83.5,-4.3300
83.7,-4.1400
83.9,-4.0400
84.1,-3.6100
84.3,-3.8800
84.8,-3.7200
85.0,-3.7800
85.2,-3.9900
85.4,-3.9000
85.8,-4.1100
86.0,-3.9100
86.2,-4.0000
86.4,-3.7100
86.6,-3.9000
86.8,-3.8300
87.1,-3.7700
87.2,-4.0500
87.5,-3.7000
87.7,-3.7700
87.8,-4.0000
88.1,-3.8800
88.3,-3.8000
88.5,-3.6400
88.8,-3.6200
88.9,-3.5800
89.1,-3.4300
89.3,-3.4500
89.5,-3.5200
89.7,-3.5000
89.9,-3.5200
90.1,-3.5200
90.3,-3.7800
90.5,-3.8500
90.7,-3.6400
90.9,-3.5300
91.1,-3.6200
91.3,-3.7100
91.5,-3.9400
92.0,-3.9600
92.6,-3.8400
93.1,-3.8500
93.6,-3.8200
94.2,-3.9400
94.7,-4.1000
95.2,-3.6000
95.7,-4.1400
96.3,-3.7300
96.8,-3.8300
97.4,-3.9100
97.9,-3.6800
98.5,-3.7400
99.1,-4.1000
99.7,-3.4800
100.3,-3.5000
100.8,-3.7000
102.5,-3.4900
103.1,-3.5900
103.6,-3.6300
104.2,-3.6600
104.7,-3.6200
105.3,-3.6600
105.8,-3.6700
106.4,-3.5700
106.9,-3.7400
107.5,-3.7300
108.0,-3.7200
108.6,-3.6900
109.1,-3.7300
109.7,-3.7600
110.3,-3.7800
111.4,-3.6700
111.9,-3.7000
112.5,-3.5900
113.2,-3.6800
113.7,-3.6800
114.3,-3.6400
114.8,-3.7700
116.0,-3.7900
116.6,-4.2500
117.2,-3.9700
117.7,-3.9300
118.3,-4.0300
118.8,-4.0000
119.4,-3.8500
120.0,-3.6800
120.6,-3.6700
121.1,-3.5700
121.7,-3.5800
122.2,-3.4900
122.8,-3.5800
123.4,-3.7500
124.0,-3.5600
125.1,-3.5000
126.3,-3.4800
128.0,-3.7200
128.5,-3.9300
129.1,-3.4400
129.7,-4.1700
130.3,-4.0600
130.8,-3.9600
131.3,-4.0100
131.8,-4.2000
132.4,-3.9100
133.0,-3.8800
134.1,-3.8700
134.7,-3.7600
135.3,-3.9100
135.9,-3.3500
136.4,-3.5000
137.0,-3.5000
137.6,-3.5300
138.1,-3.4400
138.7,-3.6700
139.2,-3.7000
139.7,-3.9800
140.3,-3.5300
140.9,-3.6000
141.4,-3.4700
141.9,-3.8200
142.5,-3.6300
143.1,-3.7100
143.6,-3.5900
144.2,-3.4700
144.7,-3.5500
145.3,-3.9100
145.9,-3.6200
146.4,-3.3900
147.0,-3.4900
147.5,-3.6800
148.0,-3.4900
148.6,-3.4700
149.1,-3.2500
149.3,-3.3700
149.6,-3.5000
149.8,-3.3700
150.0,-3.8600
150.2,-3.5400
150.5,-3.5600
150.7,-3.5000
150.9,-3.4300
151.2,-3.4400
151.4,-3.5100
151.6,-3.5300
151.8,-3.7300
152.0,-3.6300
152.2,-3.5700
155.1,-3.9700
156.1,-3.7100
156.3,-3.9700
156.6,-3.8500
156.8,-3.7000
157.0,-3.7100
157.3,-3.8900
157.5,-3.5700
157.8,-3.6700
158.0,-3.5900
158.2,-3.6100
158.5,-3.8100
158.8,-3.7400
159.0,-3.7100
159.2,-3.7900
159.5,-3.6800
159.7,-3.8300
160.1,-3.7600
160.3,-3.8200
160.6,-3.7300
160.9,-3.6600
161.1,-3.7000
161.4,-3.5600
161.7,-3.5300
161.9,-3.4800
162.2,-3.5500
162.5,-3.4000
162.7,-3.4500
162.9,-3.5600
163.2,-3.5400
163.5,-3.5100
163.7,-3.5000
163.9,-3.6400
164.3,-3.6900
164.5,-3.6900
164.7,-3.6200
164.9,-3.7100
165.2,-3.6700
165.6,-3.6300
165.8,-3.7400
166.1,-3.6000
166.4,-3.7100
166.6,-3.6500
166.9,-3.6500
167.1,-3.6700
167.4,-3.5700
167.7,-3.6500
168.0,-3.6700
168.2,-3.6600
168.5,-3.7200
168.8,-3.6600
169.3,-3.6500
169.9,-3.7000
170.4,-3.6400
171.0,-3.6100
171.5,-3.6200
172.1,-3.6200
172.6,-3.6800
173.2,-3.7400
