depth_sample,year_CE,d18O_measurement,d18O_z,Mg_Ca_measurement,Mg_Ca_z
36.0000000000001,1197.7532740425559,-5.382,1.9937874296820406,34.9426208813946,3.8160207413277005
35.5000000000001,1209.9477058510229,-5.886,0.31185621495898597,30.3584247654614,2.2848010012517186
35.0000000000001,1222.284275252316,-6.011,-0.10528942361319978,29.5764947033607,2.0236196040846184
34.5000000000001,1234.73651138164,-6.039,-0.198730046653368,29.6519545356589,2.048824805144019
34.0000000000001,1247.277943374199,-5.89,0.29850755452467753,30.3699094151429,2.28863712035645
33.5000000000001,1259.8638354622121,-6.254,-0.916220544997527,30.1042017029959,2.1998850504971776
33.0000000000001,1272.3763922659518,-6.463,-1.6136880526902233,30.3960171298716,2.297357656552952
32.5000000000001,1284.679553502707,-6.718,-2.464665155377482,30.242389832099,2.246042846929881
32.0000000000001,1296.637258889763,-6.258,-0.9295692054318385,29.5996161293897,2.0313426558605356
31.5000000000001,1308.167440443134,-6.431,-1.5068987692157436,26.2954595665494,0.9276835572155513
31.0000000000001,1319.403999373739,-5.819,0.5354462772336781,26.0670708860359,0.8513968436526897
30.5000000000001,1330.5348291912242,-5.77411176696311,0.6852457223100813,,
30.0000000000001,1341.747823405235,-6.52010314000693,-1.804250659111566,,
29.5000000000001,1353.165567661197,-6.16317304763387,-0.6131160086428493,25.8041293273026,0.7635687283110723
29.0000000000001,1364.649416147654,-5.776884659088,0.67599212346105,25.2399046973299,0.5751056108086507
28.5000000000001,1375.995415188931,-5.36055078697261,2.065366995003492,25.9876977376951,0.8248845111743769
28.0000000000001,1386.999611109351,-5.60432088204273,1.25186593922087,28.5460794853706,1.6794388399202675
27.6666666666668,1394.081144824294,-6.62545977622539,-2.1558431494569006,28.3046034048866,1.5987806543098968
27.3333333333335,1401.075759406643,-5.65907221776625,1.0691516919963282,27.2447001836995,1.2447502651625024
27.0000000000001,1408.1390936693101,-5.67926329127507,1.001770745977971,27.1035275560865,1.197595582270971
26.9000000000001,1410.2947624131561,-5.61639639200111,1.2115679687194851,26.3987661958579,0.9621901852212956
26.8000000000001,1412.47482573745,-5.50911921340233,1.5695696260859693,26.4933567221057,0.9937854480224205
26.4000000000001,1421.52307002514,-5.73759597983013,0.8071049330425071,25.4487098731644,0.6448510141426297
26.3000000000001,1423.888140141195,-5.93754676100954,0.13983616265776697,25.5976371264904,0.6945959082006028
26.2000000000001,1426.302818393505,-5.76291980078939,0.7225951613214017,24.4764437087582,0.3200932799845506
26.1000000000001,1428.771307041371,-6.44105227761024,-1.54044487931837,25.2859901659423,0.5904991449169955
26.0000000000001,1431.297808344094,-6.01992092091128,-0.135060009614701,24.0457910810523,0.17624607362989225
25.9000000000001,1433.885605216049,-6.30654940140608,-1.0915865738465325,23.3406909008779,-0.05927249654244614
25.8000000000001,1436.534303191909,-6.11688089817835,-0.4586314626788331,23.3062592423141,-0.07077340835841343
25.4000000000001,1447.711829929358,-5.64695333837178,1.10959439346661,23.9458988964826,0.14287994333699106
25.2000000000001,1453.631840854955,-5.56431293167069,1.3853790752681412,24.9585916932397,0.48114103902564287
25.1000000000001,1456.670059871088,-6.1524346837444,-0.577280315347703,25.0450034816677,0.5100044281281149
