sample_id,age_BP,d18O_measurement,d13C_measurement,Mg_Ca_measurement,Sr_Ca_measurement,U_Ca_measurement,P_Ca_measurement,Ba_Ca_measurement,year_CE
360012,965.896327,-8.97,,,,,,,984.103673
360011,964.9581272,-8.59,,,,,,,985.0418728
360010,964.0480654,-8.81,,,,,,,985.9519346
360009,963.2472699,-8.57,,,,,,,986.7527301
360008,962.3171958,-8.58,,,,,,,987.6828042
360007,961.3463233,-8.49,,,,,,,988.6536767
360006,960.5529213,-8.5,,,,,,,989.4470787
360005,959.5921634,-8.43,,,,,,,990.4078366
360004,958.8802513,-8.41,,,,,,,991.1197487
360003,957.9714797,-8.29,,,,,,,992.0285203
360002,957.0456121,-8.29,,,,,,,992.9543879
360001,956.3177786,-8.33,,,,,,,993.6822214
360000,955.3611425,-8.28,,,,,,,994.6388575
359999,954.6450688,-8.39,,,,,,,995.3549312
359998,953.7098462,-8.28,,,,,,,996.2901538
359997,952.7508924,-8.68,,,,,,,997.2491076
359996,951.802974,-8.65,,,,,,,998.197026
359995,950.9459495,-8.67,,,,,,,999.0540505
359994,949.92987,-8.89,,,,,,,1000.07013
359993,949.2565257,-8.92,,,,,,,1000.7434743
359992,948.4232693,-8.71,,,,,,,1001.5767307
359991,947.297452,-8.89,,,,,,,1002.702548
359990,946.6021121,-9.07,,,,,,,1003.3978879
359989,945.7461683,-8.92,,,,,,,1004.2538317
359988,944.9142143,-9.01,,,,,,,1005.0857857
359987,944.1155481,-8.89,,,,,,,1005.8844519
359986,943.3054722,-8.88,,,,,,,1006.6945278
359985,942.5482597,-8.85,,,,,,,1007.4517403
359984,941.8284654,-8.59,,,,,,,1008.1715346
359983,941.0606015,-8.58,,,,,,,1008.9393985
359982,940.27767,-8.57,,,,,,,1009.72233
359981,939.4578141,-8.79,,,,,,,1010.5421859
359980,938.6093722,-8.53,,,,,,,1011.3906278
359979,937.7359388,-8.55,,,,,,,1012.2640612
359978,936.7453425,-8.47,,,,,,,1013.2546575
359977,935.8574002,-8.54,,,,,,,1014.1425998
359976,934.9278093,-8.54,,,,,,,1015.0721907
359975,934.2304443,-8.7,,,,,,,1015.7695557
359974,933.432986,-8.68,,,,,,,1016.567014
359973,932.6685884,-8.81,,,,,,,1017.3314116
359972,931.7615129,-9.02,,,,,,,1018.2384871
359971,930.8417045,-9.05,,,,,,,1019.1582955
359970,930.084539,-9.23,,,,,,,1019.915461
359969,929.1569185,-9.37,,,,,,,1020.8430815
359968,928.4046634,-9.25,,,,,,,1021.5953366
359967,927.6317431,-9.07,,,,,,,1022.3682569
359966,926.7702087,-9.27,,,,,,,1023.2297913
359965,926.1669555,-9.17,,,,,,,1023.8330445
359964,925.2570396,-9.21,,,,,,,1024.7429604
359963,924.3346016,-8.97,,,,,,,1025.6653984
359962,923.2938608,-8.83,,,,,,,1026.7061392
359961,922.34444,-8.75,,,,,,,1027.6555600000002
359960,921.5538054,-8.5,,,,,,,1028.4461946000001
359959,920.7081649,-8.42,,,,,,,1029.2918350999998
359958,919.7210493,-8.46,,,,,,,1030.2789507
359957,918.8906981,-8.36,,,,,,,1031.1093019
359956,917.9113462,-8.46,,,,,,,1032.0886538
359955,916.8959675,-8.55,,,,,,,1033.1040325
359954,915.9267448,-8.6,,,,,,,1034.0732552
359953,915.201513,-8.74,,,,,,,1034.798487
359952,914.3418684,-8.68,,,,,,,1035.6581316000002
359951,913.3274359,-8.75,,,,,,,1036.6725641
359950,912.2922907,-8.79,,,,,,,1037.7077093
359949,911.2744466,-8.78,,,,,,,1038.7255534
359948,910.2569019,-8.73,,,,,,,1039.7430981
359947,909.3820301,-8.83,,,,,,,1040.6179699
359946,908.420993,-9.21,,,,,,,1041.579007
359945,907.4164338,-9.22,,,,,,,1042.5835662
359944,906.5301738,-9.07,,,,,,,1043.4698262000002
359943,905.5231931,-9.07,,,,,,,1044.4768069000002
359942,904.650458,-9.04,,,,,,,1045.349542
359941,903.5854008,-8.88,,,,,,,1046.4145991999999
359940,902.7479065,-8.88,,,,,,,1047.2520935
359939,902.0311168,-8.96,,,,,,,1047.9688832000002
359938,901.2005817,-8.88,,,,,,,1048.7994183
359937,900.4132393,-8.88,,,,,,,1049.5867607
359936,899.4423781,-8.87,,,,,,,1050.5576219
359935,898.3922435,-8.96,,,,,,,1051.6077565
359934,897.5229476,-9.16,,,,,,,1052.4770524
359933,896.6284281,-9.07,,,,,,,1053.3715719000002
359932,895.7159809,-8.96,,,,,,,1054.2840191
359931,894.6845237,-8.78,,,,,,,1055.3154763
359930,893.818924,-8.9,,,,,,,1056.1810759999998
359929,892.8632992,-8.91,,,,,,,1057.1367008
359928,891.943545,-8.98,,,,,,,1058.056455
359927,891.1046449,-8.95,,,,,,,1058.8953551
359926,890.2189348,-9.04,,,,,,,1059.7810651999998
359925,889.304116,-8.94,,,,,,,1060.695884
359924,888.4258722,-9.11,,,,,,,1061.5741278
359923,887.8686936,-9.1,,,,,,,1062.1313064
359922,886.9107382,-9.36,,,,,,,1063.0892618
359921,885.8493724,-9.21,,,,,,,1064.1506276
359920,884.9373223,-9.28,,,,,,,1065.0626777
359919,884.0774651,-9.04,,,,,,,1065.9225348999998
359918,883.1864347,-9.18,,,,,,,1066.8135653
359917,882.3314755,-9.1,,,,,,,1067.6685244999999
359916,881.4593587,-9.18,,,,,,,1068.5406413
359915,880.5434542,-9.06,,,,,,,1069.4565458
359914,879.8676032,-9.0,,,,,,,1070.1323968000002
359913,879.0721943,-9.05,,,,,,,1070.9278057000001
359912,878.1523143,-9.19,,,,,,,1071.8476857
359911,877.2438758,-9.28,,,,,,,1072.7561242000002
359910,876.394319,-9.3,,,,,,,1073.605681
359909,875.4511588,-9.43,,,,,,,1074.5488412
359908,874.6828096,-9.29,,,,,,,1075.3171904
359907,873.7577072,-9.36,,,,,,,1076.2422928
359906,872.8724903,-9.38,,,,,,,1077.1275097
359905,871.9954995,-9.26,,,,,,,1078.0045005
359904,871.0962554,-9.16,,,,,,,1078.9037446
359903,870.09533,-9.03,,,,,,,1079.90467
359902,869.1087612,-9.22,,,,,,,1080.8912387999999
359901,868.3866599,-9.23,,,,,,,1081.6133401
359900,867.5519368,-9.18,,,,,,,1082.4480632
359899,866.7364691,-9.22,,,,,,,1083.2635309
359898,865.7622051,-9.4,,,,,,,1084.2377949000002
359897,864.9527761,-9.38,,,,,,,1085.0472239
359896,864.136853,-9.32,,,,,,,1085.863147
359895,863.1777585,-9.18,,,,,,,1086.8222415
359894,862.2150095,-9.34,,,,,,,1087.7849905
359893,861.1705894,-9.18,,,,,,,1088.8294105999998
359892,860.2453499,-9.39,,,,,,,1089.7546501000002
359891,859.3216102,-9.41,,,,,,,1090.6783897999999
359890,858.3810005,-9.59,,,,,,,1091.6189995
359889,857.3220878,-9.74,,,,,,,1092.6779122
359888,856.3704932,-9.57,,,,,,,1093.6295068
359887,855.3068202,-9.39,,,,,,,1094.6931798
359886,854.4591718,-9.38,,,,,,,1095.5408281999999
359885,853.5834027,-9.1,,,,,,,1096.4165973
359884,852.8375029,-8.77,,,,,,,1097.1624971
359883,851.7406373,-8.98,,,,,,,1098.2593627
359882,850.7000908,-8.64,,,,,,,1099.2999092
359881,849.8951975,-8.8,,,,,,,1100.1048025
359880,848.9813769,-8.76,,,,,,,1101.0186231
359879,848.0900072,-8.66,,,,,,,1101.9099928
359878,847.0585799,-8.67,,,,,,,1102.9414201
359877,846.2053892,-8.82,,,,,,,1103.7946108
359876,845.2969744,-8.89,,,,,,,1104.7030256
359875,844.5195819,-8.98,,,,,,,1105.4804181
359874,843.6913801,-9.19,,,,,,,1106.3086199
359873,842.8029466,-9.14,,,,,,,1107.1970534
359872,841.9125638,-9.1,,,,,,,1108.0874362
359871,840.9936027,-9.26,,,,,,,1109.0063973000001
359870,840.0265335,-9.47,,,,,,,1109.9734665
359869,839.270827,-9.55,,,,,,,1110.729173
359868,838.3284156,-9.48,,,,,,,1111.6715844
359867,837.383244,-9.73,,,,,,,1112.616756
359866,836.5270654,-9.68,,,,,,,1113.4729346
359865,835.597596,-9.84,,,,,,,1114.402404
359864,834.7927416,-9.37,,,,,,,1115.2072584
359863,833.759209,-9.27,,,,,,,1116.240791
359862,832.7612622,-8.88,,,,,,,1117.2387377999999
359861,831.9491465,-8.83,,,,,,,1118.0508535
359860,830.4829296,-8.85,,,,,,,1119.5170704
359859,828.8771962,-8.91,,,,,,,1121.1228038
359858,827.17142,-9.04,,,,,,,1122.8285799999999
359857,825.4828488,-8.97,,,,,,,1124.5171512
359856,824.0591143,-8.82,,,,,,,1125.9408856999999
359855,822.809764,-9.0,,,,,,,1127.190236
359854,821.2467942,-8.9,,,,,,,1128.7532058000002
359853,819.9152716,-8.83,,,,,,,1130.0847284000001
359852,818.2658189,-8.64,,,,,,,1131.7341811000001
359851,816.577738,-9.15,,,,,,,1133.422262
359850,815.0580725,-9.1,,,,,,,1134.9419275
359849,813.1790691,-9.12,,,,,,,1136.8209309
359848,811.7089019,-9.46,,,,,,,1138.2910981
359847,809.9028552,-9.51,,,,,,,1140.0971448
359846,807.6847942,-9.51,,,,,,,1142.3152058
359845,805.9798158,-9.56,,,,,,,1144.0201842000001
359844,804.3030361,-9.55,,,,,,,1145.6969639
359843,802.4752359,-9.68,,,,,,,1147.5247641
359842,800.5698356,-9.64,,,,,,,1149.4301644
359841,798.8621955,-9.75,,,,,,,1151.1378045000001
359840,797.1276811,-9.47,,,,,,,1152.8723189
359839,795.5508175,-9.53,,,,,,,1154.4491825
359838,794.2597632,-9.53,,,,,,,1155.7402368
359837,792.7104194,-9.5,,,,,,,1157.2895806000001
359836,791.1619879,-9.47,,,,,,,1158.8380121
359835,789.8627751,-9.45,,,,,,,1160.1372249
359834,788.3312697,-9.39,,,,,,,1161.6687302999999
359833,786.917856,-9.31,,,,,,,1163.082144
359832,785.4318194,-9.37,,,,,,,1164.5681806
359831,783.9624404,-9.35,,,,,,,1166.0375596
359830,783.1726188,-9.27,,,,,,,1166.8273812
359829,782.1788185,-9.3,,,,,,,1167.8211815
359828,780.9483531,-9.1,,,,,,,1169.0516469
359827,779.8240567,-9.19,,,,,,,1170.1759433
359826,778.649344,-9.28,,,,,,,1171.350656
359825,777.9438099,-9.24,,,,,,,1172.0561901
359824,777.0276993,-9.31,,,,,,,1172.9723007
359823,775.9793788,-9.35,,,,,,,1174.0206212
359822,775.2886762,-9.09,,,,,,,1174.7113238
359821,774.3735066,-8.97,,,,,,,1175.6264934
359820,773.1550985,-8.73,,,,,,,1176.8449015
359819,772.3323862,-8.63,,,,,,,1177.6676138
359818,771.4610362,-8.64,,,,,,,1178.5389638000001
359817,770.5344767,-8.74,,,,,,,1179.4655232999999
359816,769.5667121,-8.49,,,,,,,1180.4332878999999
359815,768.8669393,-8.72,,,,,,,1181.1330607
359814,768.1077381,-8.74,,,,,,,1181.8922619
359813,767.253836,-8.69,,,,,,,1182.7461640000001
359812,766.0846297,-8.93,,,,,,,1183.9153703
359811,765.0177381,-8.98,,,,,,,1184.9822619000001
359810,763.9184494,-9.24,,,,,,,1186.0815506
359809,762.8715656,-9.12,,,,,,,1187.1284344
359808,761.8975008,-9.28,,,,,,,1188.1024992
359807,760.9464015,-9.06,,,,,,,1189.0535985000001
359806,760.1735883,-9.11,,,,,,,1189.8264116999999
359805,759.3323151,-8.94,,,,,,,1190.6676849
359804,758.4214217,-9.03,,,,,,,1191.5785783000001
359803,757.1601921,-8.82,,,,,,,1192.8398078999999
359802,756.3799199,-8.96,,,,,,,1193.6200801
359801,755.3012989,-8.97,,,,,,,1194.6987011
359800,754.4699818,-9.08,,,,,,,1195.5300182
359799,753.6204267,-9.17,,,,,,,1196.3795733
359798,752.8574672,-9.64,,,,,,,1197.1425328
359797,751.7004115,-9.64,,,,,,,1198.2995885
359796,750.8844685,-9.71,,,,,,,1199.1155315
359795,749.9258607,-9.58,,,,,,,1200.0741392999998
359794,748.9984566,-9.37,,,,,,,1201.0015434
359793,748.1831,-9.35,,,,,,,1201.8169
359792,747.2749642,-9.28,,,,,,,1202.7250358000001
359791,746.5468647,-8.97,,,,,,,1203.4531353
359790,745.4185865,-8.9,,,,,,,1204.5814135
359789,744.3906335,-8.89,,,,,,,1205.6093664999999
359788,743.3347392,-8.72,,,,,,,1206.6652608
359787,742.5341836,-8.58,,,,,,,1207.4658164
359786,741.5677473,-8.75,,,,,,,1208.4322527
359785,740.8576361,-8.37,,,,,,,1209.1423639
359784,740.4737551,-8.14,,,,,,,1209.5262449000002
359783,739.4783998,-8.19,,,,,,,1210.5216002
359782,738.3748552,-8.28,,,,,,,1211.6251448
359781,737.6925766,-8.42,,,,,,,1212.3074234
359780,736.9485756,-8.8,,,,,,,1213.0514244
359779,736.0944523,-8.74,,,,,,,1213.9055477000002
359778,735.0992296,-9.07,,,,,,,1214.9007704
359777,734.0823634,-9.49,,,,,,,1215.9176366000002
359776,733.2449225,-9.32,,,,,,,1216.7550775
359775,732.1121216,-9.46,,,,,,,1217.8878783999999
359774,731.3066966,-9.38,,,,,,,1218.6933033999999
359773,730.4200052,-9.55,,,,,,,1219.5799948
359772,729.5263112,-9.34,,,,,,,1220.4736888
359771,728.7075524,-9.29,,,,,,,1221.2924475999998
359770,725.6944271,-9.28,,,,,,,1224.3055729
359769,722.4498968,-9.13,,,,,,,1227.5501032
359768,718.9147493,-9.06,,,,,,,1231.0852507
359767,715.2988363,-9.15,,,,,,,1234.7011637
359766,712.2560302,-9.16,,,,,,,1237.7439697999998
359765,709.0541834,-9.18,,,,,,,1240.9458166
359764,706.1444259,-9.43,,,,,,,1243.8555741
359763,702.8779895,-9.09,,,,,,,1247.1220105
359762,699.0769894,-9.26,,,,,,,1250.9230106
359761,695.9323273,-9.0,,,,,,,1254.0676727
359760,692.2342058,-9.09,,,,,,,1257.7657942
359759,689.1540643,-9.24,,,,,,,1260.8459357000002
359758,685.8731958,-9.2,,,,,,,1264.1268042000002
359757,682.5607308,-9.44,,,,,,,1267.4392692000001
359756,678.7078456,-9.51,,,,,,,1271.2921544
359755,675.5121909,-9.55,,,,,,,1274.4878091
359754,672.3656199,-9.4,,,,,,,1277.6343801
359753,668.9682442,-9.33,,,,,,,1281.0317558000002
359752,665.2971015,-9.25,,,,,,,1284.7028985
359751,662.5388113,-9.05,,,,,,,1287.4611887
359750,659.2386541,-9.25,,,,,,,1290.7613459
359749,656.2541205,-9.2,,,,,,,1293.7458795
359748,653.0401173,-9.13,,,,,,,1296.9598827
359747,649.9345267,-9.32,,,,,,,1300.0654733000001
359746,646.5283023,-9.3,,,,,,,1303.4716977
359745,643.1029514,-9.32,,,,,,,1306.8970485999998
359744,640.0099926,-9.56,,,,,,,1309.9900074
359743,637.1524742,-9.52,,,,,,,1312.8475257999999
359742,633.6940979,-9.4,,,,,,,1316.3059021
359741,630.3450148,-9.33,,,,,,,1319.6549852
359740,629.2752928,-9.38,,,,,,,1320.7247072
359739,628.0218848,-9.23,,,,,,,1321.9781152
359738,626.8569274,-9.12,,,,,,,1323.1430725999999
359737,625.84941,-9.14,,,,,,,1324.15059
359736,624.5785365,-8.94,,,,,,,1325.4214634999998
359735,623.3873742,-8.86,,,,,,,1326.6126258
359734,622.032749,-8.81,,,,,,,1327.967251
359733,620.9142661,-8.67,,,,,,,1329.0857339
359732,619.8435882,-8.68,,,,,,,1330.1564118000001
359731,618.8827742,-8.56,,,,,,,1331.1172258000001
359730,617.8844921,-8.64,,,,,,,1332.1155079
359729,616.7594268,-8.66,,,,,,,1333.2405732
359728,615.7808004,-8.42,,,,,,,1334.2191996000001
359727,614.751739,-8.69,,,,,,,1335.248261
359726,613.5885921,-9.03,,,,,,,1336.4114079
359725,612.3492037,-9.13,,,,,,,1337.6507963
359724,611.088607,-9.16,,,,,,,1338.9113929999999
359723,609.8782374,-9.25,,,,,,,1340.1217626
359722,608.7100354,-9.37,,,,,,,1341.2899646
359721,607.3768811,-9.29,,,,,,,1342.6231189
359720,606.2830217,-9.24,,,,,,,1343.7169783
359719,605.179885,-9.27,,,,,,,1344.820115
359718,603.9727158,-9.54,,,,,,,1346.0272842
359717,602.8529787,-9.28,,,,,,,1347.1470213
359716,601.6245668,-9.33,,,,,,,1348.3754331999999
