EqID,Year,Mo,Da,Imax,ImaxNum,MdpN,dist_km
14110701_0600_000,1411,7.0,1.0,4-5,4.5,1,386.2383351741135
14140807_0000_001,1414,8.0,7.0,7-8,7.5,8,182.20346120066645
14200000_0000_001,1420,,,5-6,5.5,1,267.36572148963563
14241020_0000_000,1424,10.0,20.0,5,5.0,1,298.9578416003429
14250810_0000_000,1425,8.0,10.0,7,7.0,2,282.3935562978776
14260000_0000_000,1426,,,5-6,5.5,1,247.90330681598167
14280703_0500_000,1428,7.0,3.0,8,8.0,6,294.2615545304405
14290626_0000_000,1429,6.0,26.0,5,5.0,1,267.36572148963563
14300813_0040_000,1430,8.0,13.0,5,5.0,1,267.36572148963563
14330504_0805_000,1433,5.0,4.0,7,7.0,4,187.14614139361882
14360300_0000_000,1436,3.0,,6-7,6.5,1,267.36572148963563
14380611_0200_000,1438,6.0,11.0,8,8.0,4,156.48064832719277
14450321_1330_000,1445,3.0,21.0,5-6,5.5,1,264.19027384923237
14491016_0000_000,1449,10.0,15.0,7,7.0,2,267.36572148963563
14490000_0000_000,1449,,,5,5.0,1,108.8128970689469
14530928_2245_000,1453,9.0,28.0,7-8,7.5,5,235.10749762014842
14550206_0000_000,1455,2.0,6.0,HD,8.6,2,253.31081771974237
14551220_2045_000,1455,12.0,20.0,6-7,6.5,5,187.14614139361882
14561209_0000_000,1456,12.0,9.0,5-6,5.5,1,322.06670627283336
14580426_1215_000,1458,4.0,26.0,8-9,8.5,5,322.06670627283336
14580501_0035_000,1458,5.0,1.0,7,7.0,2,332.6764670430124
14640324_0000_000,1464,3.0,24.0,5,5.0,2,176.36233161842958
14650517_0000_000,1465,5.0,17.0,6,6.0,1,362.0929128504026
14650407_1530_000,1465,4.0,7.0,6-7,6.5,5,184.7569535779271
14661226_0000_000,1466,12.0,26.0,6,6.0,1,362.0929128504026
14670822_2020_000,1467,8.0,22.0,5-6,5.5,1,267.36572148963563
14670903_0000_000,1467,9.0,3.0,6-7,6.5,1,267.36572148963563
