EqID,Year,Mo,Da,Imax,ImaxNum,MdpN
19570308_0413_000,1957,3.0,8.0,5,5.0,17
19570827_1154_000,1957,8.0,27.0,6,6.0,58
19581013_1350_000,1958,10.0,13.0,5,5.0,4
19590126_0535_000,1959,1.0,26.0,5,5.0,14
19591221_2235_000,1959,12.0,21.0,5,5.0,20
19630719_0546_000,1963,7.0,19.0,6,6.0,412
19630727_0558_000,1963,7.0,27.0,6,6.0,9
19650510_0503_000,1965,5.0,10.0,5,5.0,11
19660407_1938_000,1966,4.0,7.0,6-7,6.5,101
19680618_0527_000,1968,6.0,18.0,6,6.0,60
19680907_1649_000,1968,9.0,7.0,5,5.0,12
19680418_1938_000,1968,4.0,18.0,HD,8.6,51
19690106_2203_000,1969,1.0,6.0,6-7,6.5,74
19701231_2204_000,1970,12.0,31.0,D,6.4,79
19710715_0133_000,1971,7.0,15.0,8,8.0,228
19710925_1034_000,1971,9.0,25.0,5-6,5.5,31
19720118_2326_000,1972,1.0,18.0,6-7,6.5,41
19721025_2156_000,1972,10.0,25.0,5,5.0,198
19751116_1304_000,1975,11.0,16.0,5-6,5.5,10
19760506_2000_000,1976,5.0,6.0,9-10,9.5,770
19760822_0249_000,1976,8.0,22.0,5,5.0,26
19760915_0921_000,1976,9.0,15.0,8-9,8.5,54
19781205_1539_000,1978,12.0,5.0,4-5,4.5,34
19781225_2253_000,1978,12.0,25.0,5-6,5.5,28
19790209_1444_000,1979,2.0,9.0,6,6.0,73
19800607_1835_000,1980,6.0,7.0,D,6.4,102
19801223_1201_000,1980,12.0,23.0,6-7,6.5,69
19800105_1432_000,1980,1.0,5.0,6-7,6.5,120
19810422_0426_000,1981,4.0,22.0,4,4.0,14
19831109_1629_000,1983,11.0,9.0,7,7.0,850
19840429_0502_000,1984,4.0,29.0,7,7.0,709
19861001_1953_000,1986,10.0,1.0,5,5.0,68
19891003_0941_000,1989,10.0,3.0,4,4.0,91
19891226_1959_000,1989,12.0,26.0,5-6,5.5,290
19930717_0546_000,1993,7.0,17.0,5,5.0,4
19930717_1034_000,1993,7.0,17.0,5-6,5.5,336
19950303_1616_000,1995,3.0,3.0,5,5.0,43
19950421_0802_000,1995,4.0,21.0,5-6,5.5,49
19950824_1727_000,1995,8.0,24.0,6,6.0,56
19951010_0654_000,1995,10.0,10.0,7,7.0,341
19961125_1947_000,1996,11.0,25.0,5,5.0,18
19961015_0955_000,1996,10.0,15.0,7,7.0,135
