EqID,Year,Mo,Da,Imax,ImaxNum,MdpN,dist_km
14720000_0000_002,1472,,,7,7.0,1,348.87432662277155
14740818_0000_000,1474,8.0,18.0,7,7.0,1,429.56439027308534
14770203_0100_000,1477,2.0,3.0,7-8,7.5,3,355.6414723308862
14800000_0000_001,1480,,,7-8,7.5,4,473.7452561627198
14810507_1415_000,1481,5.0,7.0,8,8.0,6,153.45269164172805
14830811_1940_000,1483,8.0,11.0,8-9,8.5,14,247.90330681598167
14840000_0000_001,1484,,,7,7.0,1,322.06670627283336
14890000_0000_002,1489,,,7,7.0,1,322.06670627283336
14900610_0000_000,1490,6.0,10.0,7,7.0,4,870.1061630760315
14940529_0215_000,1494,5.0,29.0,7-8,7.5,1,902.66169165448
14960604_0000_000,1496,6.0,4.0,7,7.0,1,267.36572148963563
14981020_0000_000,1498,10.0,20.0,7,7.0,2,609.0485617663342
14991109_0000_000,1499,11.0,9.0,7-8,7.5,1,902.66169165448
14991205_2200_000,1499,12.0,5.0,8,8.0,1,628.912339919389
